Address,Beds,Baths,House Size (sqft),Lot Size (ac),Type,Postal Code,Price
"11 Coronation Court, Oromocto, New Brunswick, E2V2M9",4.0,2.0,,,Family,E2V2M9,169900
"5185 Route 127, St. Andrews, New Brunswick",4.0,2.0,1675.0,1.17,Residential,E5B3A7,259000
"Lot du Portage, Caraquet, New Brunswick, E1W1A8",,,,,Empty Land,E1W1A8,19000
"175 Ledden Street, Miramichi, New Brunswick, E1V 2G8",4.0,2.0,1780.0,0.134,Residential,E1V 2G8,104200
"96 Todds Point Road, Saint Stephen, New Brunswick",4.0,3.0,,,Residential,E3L3P9,269000
"56 Satinwood, Pointe-du-Chene, New Brunswick",2.0,1.0,702.0,0.10300000000000001,Residential,E4P5B7,149500
"19 BARKER Street, Oromocto, New Brunswick, E2V2K4",4.0,1.0,,,Family,E2V2K4,159900
"323 Irving BLVD, Bouctouche, New Brunswick, E4S3K8",2.0,2.0,1309.0,,Family,E4S3K8,219900
"37 Rose Street, St. Stephen, New Brunswick, E3L 2R1",2.0,1.0,730.0,0.24,Residential,E3L 2R1,69900
"421 Ryan RD, Moncton, New Brunswick, E1C2W2",3.0,2.0,1350.0,,Family,E1C2W2,189900
"124 Queen Street West, St. Stephen, New Brunswick",,,,,Family,E3L2L2,99000
"55 Maxwell Drive, Sussex, New Brunswick, E4E2E1",4.0,2.0,2180.0,,Family,E4E2E1,239900
"36 Crandall ST, Moncton, New Brunswick, E1C4C5",3.0,1.0,900.0,,Family,E1C4C5,135000
"88-6 Oceanview Lane, Upper Cape, NB, Upper Cape, New Brunswick",,,,1.1159999999999999,Empty Land,E4M2T8,47000
"207 Williams Street, Grand Falls-Grand-Sault, New Brunswick",3.0,2.0,,0.019,Family,E3Z1A9,147000
"1793 Nicholas Denys, Nicholas - Denys, New Brunswick",3.0,1.0,,,Family,E8K3J9,89900
"591 Route 935, Wood Point, NB, Greater Sackville, New Brunswick",4.0,2.0,2600.0,3.0,Residential,E4L2K7,189900
"681 Rogers Road, Long Point, New Brunswick",3.0,3.0,,,Family,E5N7W1,389900
"87-3 Pine Point Road, Saint Stephen, New Brunswick, E3L 3N6",,,,,Empty Land,E3L 3N6,179000
"2343 Route 490, Ammon, New Brunswick, E1G4R6",3.0,2.0,1200.0,,Family,E1G4R6,199900
"25 Burnett Street, Oromocto, New Brunswick, E2V0J6",4.0,3.0,,,Family,E2V0J6,360000
"40 Queen Street West, St Stephen, St. Stephen, New Brunswick, E3L2K3",2.0,1.0,1590.0,0.26,Residential,E3L2K3,87000
"42 Laforest - Spring 2020, Shediac, New Brunswick, E4P 0R8",3.0,1.0,1488.0,,Residential,E4P 0R8,255000
"1 Baie Vista CRT, Shediac Cape, New Brunswick, E4P 2Y7",3.0,2.0,3440.0,,Residential,E4P 2Y7,475500
"234 Edinburgh Street, Fredericton, New Brunswick, E3B2C9",4.0,2.0,,,Family,E3B2C9,349900
"41 Eagle's Passage, Greater Saint Andrews, New Brunswick",3.0,3.0,2160.0,1.0,Residential,E5B0A9,794997
"150 Alma ST Unit 1, Moncton, New Brunswick, E1C4Y7",2.0,2.0,1334.0,,Family,E1C4Y7,239900
"167 Hillcrest Drive, Island View Heights, New Brunswick",3.0,2.0,,0.215,Family,E2M4C4,189900
"27 Grandview Lane, Grand Lake, New Brunswick",3.0,2.0,1400.0,,Family,E4B1X7,259900
"365 Gibson Street, Fredericton, New Brunswick, E3A4E7",2.0,1.0,1100.0,,Family,E3A4E7,149900
"15 Forest Road, Rothesay, New Brunswick, E2H1B4",3.0,1.0,,,Family,E2H1B4,225000
"2522 NB 895, Elgin, New Brunswick, E4Z 2R2",,,,95.88,Residential,E4Z 2R2,275000
"167 Todd's Point Road, Dufferin, New Brunswick",3.0,2.0,4026.0,,Residential,E3L3R6,295500
"Route 885 - Lot, Greater Salisbury, New Brunswick",,,,,Empty Land,E4J1T6,19900
"452 Douglas Avenue, Indiantown, New Brunswick",5.0,2.0,,,Family,E2K1G1,149900
"294 Carleton St, Saint Andrews, New Brunswick",2.0,2.0,1592.0,0.11,Residential,E5B1P2,259000
"65 Curry, Moncton, New Brunswick, E1A3V6",3.0,1.0,750.0,,Family,E1A3V6,64900
"69 Irène Street, Edmundston, New Brunswick, E3V1B8",4.0,2.0,2335.0,,Family,E3V1B8,374999
"Lot A Wilsey Road, Rusagonis - Waasis, New Brunswick",,,,,Empty Land,E3B9A5,59900
"43 Camden CRES, Moncton, New Brunswick, E1E4S6",2.0,3.0,1720.0,,Family,E1E4S6,364900
"1166 Mascarene Road, Greater St. George, New Brunswick",3.0,2.0,,,Residential,E5C3E6,89900
"637 Route 170 Route, Oak Bay, New Brunswick",5.0,2.0,,,Residential,E3L4C3,169900
"5 Confederation Crescent, Miramichi, New Brunswick, E1V 4Z8",,,,0.18,Empty Land,E1V 4Z8,24900
"Lot 14 Motivation Avenue, Quispamsis, New Brunswick, E2G2A1",,,,,Empty Land,E2G2A1,69500
"2255 Mountain Rd., Moncton, New Brunswick, E1J 1B6",,,,4.0,Residential,E1J 1B6,450000
"224 Chapman Road, Newcastle Centre, New Brunswick",3.0,2.0,,,Family,E4B2M1,269900
"4639 Route 114, Shepody, New Brunswick",4.0,1.0,1632.0,1.55,Residential,E4H4J8,124900
"26 Birchwood Place, Island View Heights, New Brunswick",3.0,2.0,,,Family,E2M5G5,139900
"28 32e Avenue, Edmundston, New Brunswick, E3V2S2",6.0,2.0,,,Family,E3V2S2,59000
"2  Scovil Street, Deer Island, New Brunswick",4.0,1.0,1272.0,0.027999999999999997,Residential,E5V1V8,129000
"131 Lawrence Long Road, Acamac, New Brunswick",1.0,1.0,,0.402,Family,E2M6A2,89900
"Lot 4 Motivation Avenue, Quispamsis, New Brunswick, E2G2A1",,,,,Empty Land,E2G2A1,129500
"333 Elmore CRT, Riverview, New Brunswick, E1B2L3",4.0,2.0,1077.0,,Family,E1B2L3,230000
"27 Corbett Ave, Fredericton, New Brunswick, E3A 3X3",3.0,1.0,1209.0,0.195,Residential,E3A 3X3,144900
"110 Route 1148, Tracey Mills, New Brunswick",3.0,1.0,1200.0,,Family,E7K2C2,114900
"24 Union Street, Sackville, NB, Sackville, New Brunswick, E4L 4Mw",6.0,2.0,2200.0,0.3,Residential,E4L 4Mw,139900
"972 St-François Street, Edmundston, New Brunswick, E3V4R2",2.0,2.0,2000.0,,Family,E3V4R2,159500
"44-46 Williams ST, Moncton, New Brunswick, E1C2G5",10.0,4.0,4000.0,,Family,E1C2G5,289900
"45 Frier St., Moncton, New Brunswick, E1A 4L7",4.0,2.0,1860.0,,Residential,E1A 4L7,159900
"234 Scott Road, Saint Stephen, New Brunswick",2.0,1.0,,,Residential,E5A1P4,55000
"95 Blanchard Court, Fredericton, New Brunswick, E3G3X2",4.0,2.0,,,Family,E3G3X2,254900
"532 Couturier Road, Saint-Joseph, New Brunswick",3.0,2.0,,0.109,Family,E7B2K7,99900
"745 Bridge Street, Bathurst, New Brunswick, E2A1W9",,2.0,,,Family,E2A1W9,74800
"1431 Route 755, St. Stephen, New Brunswick",,,594.0,3.0,Empty Land,E5A2P8,25000
"LOT # 2 Oaksway Street, St. Stephen, New Brunswick",,,,,Empty Land,E3L1P8,39500
"60 Route 735, Western Charlotte, New Brunswick",3.0,1.0,,,Residential,E3L5E6,89500
"Lot 95-3 Hillcrest Road, Forest Hills, New Brunswick",3.0,2.0,,,Family,E2N2B6,339900
"60 Champion, Dieppe, New Brunswick, E1A9E8",5.0,3.0,3811.0,0.474,Residential,E1A9E8,649900
"Lot Route 955, Murray Corner, New Brunswick, E4M3M2",,,,,Empty Land,E4M3M2,99000
"14 Murray Lane, St. Andrews, New Brunswick",4.0,2.0,2200.0,1.15,Residential,E3L4M6,449500
"Lot B Vacant Land Rte 170, Oak Bay, New Brunswick",,,,,Empty Land,E3L3X8,25000
"2100 Bridletowne Cir, Clarks Corners, New Brunswick",3.0,2.0,1390.0,,Residential,,820000
"217 McClellan, Riverview, New Brunswick, E1B1X3",3.0,1.0,1232.0,,Family,E1B1X3,164900
"Lot, Queens Road, Sackville, NB, Sackville, New Brunswick, E4L 2B3",,,,0.617,Empty Land,E4L 2B3,59000
"7 IAN Street, Champlain Heights, New Brunswick",4.0,1.0,,0.16,Family,E2J3K6,139900
"87 Ridgeline Crescent, Fredericton, New Brunswick, E3C0E0",3.0,3.0,,,Family,E3C0E0,319900
"101 Leinster Street, Saint John Centre, New Brunswick",,,2800.0,,Family,E2L1J4,379000
"338 Sunset, Beresford, New Brunswick, E2A2G6",3.0,1.0,,,Family,E2A2G6,94900
"38 Loyalist Drive, Hampton, New Brunswick, E5N5V6",4.0,3.0,2695.0,,Family,E5N5V6,339900
"1644 Wilsey Road, Rusagonis-Waasis, New Brunswick",3.0,1.0,,,Family,E3B8J2,239900
"25 Norwood AVE, Moncton, New Brunswick, E1C6L8",4.0,2.0,2190.0,,Family,E1C6L8,139900
"368 Princess, Bathurst, New Brunswick, E2A2R5",4.0,2.0,,,Family,E2A2R5,74900
"Lot 91-3 Hutchinson LANE, Rexton, New Brunswick, E4W1Y8",,,,,Empty Land,E4W1Y8,39900
"313 Lavoie, Dieppe, New Brunswick, E1A6R8",6.0,5.0,4087.0,,Family,E1A6R8,559900
"131 Old School House Road, Birneys Lake, New Brunswick",4.0,2.0,4030.0,,Residential,E5A2H1,339000
"8 Beattie, Rexton, New Brunswick, E4W1W5",3.0,2.0,1566.0,,Family,E4W1W5,205000
"1828 Westfield Road, Acamac, New Brunswick",3.0,1.0,1250.0,,Family,E2M6N1,149900
"40 Rose Street, St. Stephen, New Brunswick",4.0,2.0,,,Residential,E3L2P9,189900
"735 Bellefond Road, Miramichi, New Brunswick",,,,2.0,Empty Land,E1V4V1,11500
"1026 Barachois, Dieppe, New Brunswick, E1A7S8",4.0,2.0,1680.0,,Family,E1A7S8,324500
"- Route 750, Dennis-Weston, New Brunswick",,,,,Empty Land,E3L4T1,35000
"385 Duke Street, Bayshore, New Brunswick",,,2020.0,0.154,Family,E2M1W4,119900
"No address available, Miramichi, New Brunswick, E9A 1L2",,,,3.9,Empty Land,E9A 1L2,59900
"102 Sequoia DR, Moncton, New Brunswick, E1E4R8",3.0,2.0,1288.0,,Family,E1E4R8,114900
"20 Burlington Court, Pokiok, New Brunswick",,,,,Empty Land,,124000
"108 Upper Stoneridge Road, Zealand, New Brunswick",1.0,1.0,,,Family,E6L2M1,90000
"32 Fourth AVE, Pointe-du-Chene, New Brunswick",2.0,1.0,780.0,,Family,E4P4H7,149900
"Lot 14-6 & 14-7 Burtis Way, Cumberland Bay, New Brunswick",,,,,Empty Land,E4A0B8,179900
"24 Thompson Avenue, St. Stephen, New Brunswick",3.0,1.0,,,Residential,E3L2M1,198900
"1087 Route 850, Kiersteadville, New Brunswick",3.0,1.0,,0.41600000000000004,Family,E5T3P3,199900
"Vacant Lot #2 Rankine Road, Bayside, New Brunswick",,,,13.0,Empty Land,E5B2V2,71500
"4064 Route 480, Acadieville, New Brunswick",4.0,2.0,,,Family,E4Y2B8,129900
"180 Marie, Beresford, New Brunswick, E8K1P8",3.0,2.0,,,Family,E8K1P8,295000
"30 Berkley Drive, Riverview, New Brunswick, E1B 2L6",4.0,3.0,1735.0,869.0,Residential,E1B 2L6,239900
"281 Milltown Blvd, St. Stephen, New Brunswick, E3L 1H8",4.0,1.0,2157.0,0.33,Residential,E3L 1H8,269000
"238 Ledge Road, St. Stephen, New Brunswick",4.0,4.0,3645.0,23.0,Residential,E3L3Z4,329000
"98-2 Bayview Boulevard, Greater Saint Andrews, New Brunswick",,,,,Empty Land,E5B3G4,189900
"5 Hope RD 12, Steeves Mountain, New Brunswick, E1G3Z1",,,,,Empty Land,E1G3Z1,57900
"81 Union Street, St. Stephen, New Brunswick",4.0,2.0,,,Residential,E3L1V2,289900
"Lot 05-1 Wellington St, Miramichi, New Brunswick, E1N 3L4",,,,0.494,Empty Land,E1N 3L4,25000
"8 Collett Court, Fredericton, New Brunswick, E3A4G2",3.0,1.0,1380.0,,Family,E3A4G2,139900
"62 Duffy Rd., Riverview, New Brunswick",3.0,1.0,1500.0,12.0,Residential,E1J1A9,225000
"13 Sussex Drive, Pokiok, New Brunswick",3.0,2.0,1600.0,,Family,E2K1Y7,109900
"- Lots 1, 2, 3, 4 Oak Bay Lilly Hill, Saint Stephen, New Brunswick, E3L 5E8",,,,,Empty Land,E3L 5E8,59900
"650 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2.0,2.0,1232.0,0.102,Residential,E1H 3S7,259900
"46 Main Street A, St. Stephen, New Brunswick",,,,,Empty Land,E3L1Z5,20000
"56 Pincher Street, Greater Woodstock, New Brunswick",4.0,2.0,2146.0,,Family,E7M5H1,174900
"44 Silas Lewis RD, Greater Salisbury, New Brunswick",2.0,1.0,1100.0,,Family,E4J3B9,145000
"2 Jones Avenue, Rothesay, New Brunswick, E2E1Y4",3.0,3.0,2700.0,,Family,E2E1Y4,309900
"15 Dow Street, St. Stephen, New Brunswick",3.0,2.0,,,Residential,E3L1R4,267000
"9 Church Street, St. Stephen, New Brunswick, E3L 1L3",,,,,Empty Land,E3L 1L3,12500
"650 Principale, Petit - Rocher, New Brunswick",3.0,2.0,,,Family,E8J1T7,104900
"564 Pleasant Vale RD, Elgin, New Brunswick, E4Z2C7",2.0,2.0,1950.0,,Family,E4Z2C7,289900
"Rrichardson Road, Deer Island, New Brunswick",,,,19.5,Empty Land,E5V1J2,98000
"3 Hope RD 12, Steeves Mountain, New Brunswick, E1G3Z1",,,,,Empty Land,E1G3Z1,44900
"182 Chartersville RD, Dieppe, New Brunswick, E1A1K4",4.0,3.0,2368.0,,Family,E1A1K4,289900
"13 Alcorn ST, Lakeville, New Brunswick",2.0,1.0,856.0,,Family,E1H1H5,69900
"282 Price Road, Drummond, New Brunswick",4.0,2.0,,,Family,E3Y2N7,179000
"9069 Route 3, Saint Stephen, New Brunswick, E3L 4W9",,,,,Empty Land,E3L 4W9,60000
"117 Anne's Acres, Bayfield, NB, Murray Corner, New Brunswick",4.0,3.0,2691.0,1.005,Residential,E4M3K8,259900
"50 acres Splan Pond Area Route, Dennis-Weston, New Brunswick",,,,,Empty Land,E3L5G7,38500
"9 Hopper, Moncton, New Brunswick, E1C8Y2",4.0,2.0,1092.0,,Family,E1C8Y2,254900
"43 Laforest - Spring 2020, Shediac, New Brunswick, E4P 0R8",3.0,2.0,1423.0,,Residential,E4P 0R8,230000
"351 Beausejour, Dieppe, New Brunswick, E1A1Y6",2.0,1.0,1176.0,,Family,E1A1Y6,139900
"84 Colpitts Rd, Cocagne, New Brunswick, E4R 2L4",2.0,1.0,820.0,,Residential,E4R 2L4,94000
"876 Route 172, Greater St. George, New Brunswick",2.0,1.0,,,Residential,E5C3E6,89500
"122 Cunard, Richibucto, New Brunswick, E4W3Z4",2.0,1.0,1012.0,,Family,E4W3Z4,139500
"92 Marks Street, St. Stephen, New Brunswick",3.0,1.0,,,Residential,E3L2B5,99000
"284 Tobias AVE, Riverview, New Brunswick, E1B4W1",4.0,2.0,800.0,,Family,E1B4W1,249000
"95 McGregor St., Fredericton, New Brunswick, E3A 7V5",,,,0.212,Empty Land,E3A 7V5,42500
"90 Principale, Memramcook, New Brunswick, E4K1A6",2.0,2.0,2064.0,,Family,E4K1A6,244500
"5 Andrew Court, Grand Bay - Westfield, New Brunswick",3.0,2.0,1600.0,,Family,E5K2A3,229900
"Lot Dooley Road, Johnville, New Brunswick",,,,,Empty Land,E7J1Y1,10000
"Lot 01-2 Rte 117, Hardwicke Road, Black River - Hardwicke, New Brunswick",,,,7.0,Empty Land,E9A1K2,49900
"415 Shediac Rd, Moncton, New Brunswick, E1A 2T2",,,,,Residential,E1A 2T2,165000
"Lot 1 - 3.89 Acres Sandy Point Rd., Miramichi, New Brunswick, E9A 1L2",,,,3.9,Empty Land,E9A 1L2,59900
"7453 Route 3, Baille, New Brunswick",5.0,1.0,,,Residential,E5A1G5,99000
"62 Mia Circle, Fredericton, New Brunswick, E3A 7N5",3.0,2.0,2009.0,,Residential,E3A 7N5,259900
"213 Maces Bay Road, Maces Bay, New Brunswick",,,,,Empty Land,E5J1S6,29900
"560 Route 2896, Williamstown, New Brunswick",3.0,1.0,,,Family,E7K1S8,89900
"30 Telly Road, Miramichi, New Brunswick",2.0,1.0,924.0,1.0,Residential,E1V4R9,49900
"4000 SQ M LOT 91-1 Rte 117, Escuminac, Miramichi, New Brunswick, E9A 1R4",,,,0.988,Empty Land,E9A 1R4,19900
"Land Bunker Hill Road, Campobello Island, New Brunswick",,,,2.8,Empty Land,E5E1M3,9900
"Lot 2018-3 Grand Pass Court, Greater Estey's Bridge, New Brunswick",,,,,Empty Land,E6L1B6,134900
"41 Granada Ave, Fredericton, New Brunswick, E3A 9T6",6.0,3.0,1160.0,0.161,Residential,E3A 9T6,289900
"15 Pyne, Miramichi, New Brunswick",8.0,4.0,2688.0,0.308,Family,E1N2X7,99900
"9 Greystone Drive, Quispamsis, New Brunswick, E2G0J1",,,,,Empty Land,E2G0J1,53900
"77 Houlahan ST, Dieppe, New Brunswick, E1A0S9",3.0,2.0,1250.0,,Family,E1A0S9,182000
"LOT 2006-4 Carl Avenue, Greater Kingsclear, New Brunswick",,,,,Empty Land,E6K2W9,99000
"1 Princess Street, Saint John Centre, New Brunswick",,,3520.0,,Family,E2L1J9,885000
"985 Vanier, Bathurst, New Brunswick, E2A3N3",4.0,1.0,,,Family,E2A3N3,139900
"58 Whisperwood, Moncton, New Brunswick, E1G0P8",3.0,2.0,1420.0,,Family,E1G0P8,184900
"98-13 Ross Point Road, Greater Saint Andrews, New Brunswick",,,,,Empty Land,E5B3G5,99000
"Lot 2019-2 3 Route 2, Brockway, New Brunswick",,,,,Empty Land,E6K2B6,49900
"10 Route 601, Richibucto Road, New Brunswick",4.0,3.0,1730.0,,Family,E3A7E1,249900
"10887 Route 430, Trout Brook, New Brunswick",2.0,1.0,945.0,5.0,Residential,E9E1P8,59000
"65 North Road, Campobello Island, New Brunswick",7.0,2.0,3700.0,1.8,Residential,E5E1A1,495000
"1836 Route 620, Estey's Bridge, New Brunswick",,,,9.04,Empty Land,E3G6N1,69500
"149 Gagnon, Moncton, New Brunswick, E1A0Z4",3.0,2.0,1350.0,,Family,E1A0Z4,189900
"163 Riverside Drive, Fredericton, New Brunswick, E3A6R1",,,,0.46,Empty Land,E3A6R1,99900
"9069 Route 3, Saint Stephen, New Brunswick, E3L 4W6",4.0,2.0,,,Residential,E3L 4W6,199500
"638 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2.0,2.0,1232.0,0.12,Residential,E1H 3S7,260900
"397 Parkhurst Drive, Fredericton, New Brunswick, E3B2K2",4.0,2.0,,,Family,E3B2K2,284900
"11 Westfield Place, Fredericton, New Brunswick, E3G0C1",3.0,3.0,,,Family,E3G0C1,687900
"15-4 Winterport Way, Fredericton, New Brunswick",,,,1.0,Empty Land,E3A1X5,75000
"1449 Amirault, Dieppe, New Brunswick, E1A4T4",4.0,1.0,1405.0,0.145,Residential,E1A4T4,180000
"516 Riverside Drive Unit 4, Fredericton, New Brunswick, E3A8C2",2.0,2.0,,,Family,E3A8C2,164900
"LOT 11 Headland Road, Kingsclear, New Brunswick, E2E0E5",,,,,Empty Land,E2E0E5,99500
"138 Nevers Road, Nevers Road, New Brunswick",2.0,1.0,840.0,,Family,E3B8R4,134900
