Address,Beds,Baths,House Size (sqft),Lot Size (ac),Type,Postal Code,Price
"484 Bon Secours RD, St. Paul, New Brunswick",,,,,Empty Land,E4T3B4,22500
"701 Pleasant Vale Road, Elgin, New Brunswick, E2Z0E1",3.0,2.0,,,Family,E2Z0E1,209900
"Vacant Lot, Route 960, Cape Spear, NB, Cape Spear, New Brunswick",,,,2.1,Residential,E4M3W9,109900
"517 Canal Rd, St. George, New Brunswick, E5C 1H6",3.0,2.0,1560.0,3.8,Residential,E5C 1H6,298000
"63 Jack Road, Pennfield, New Brunswick",3.0,2.0,4028.0,,Residential,E5H1X2,459000
"Vacant Land Chamcook NB, Saint Andrews, New Brunswick",,,,5.0,Empty Land,E5B3A1,29990
"92 McGregor St., Fredericton, New Brunswick, E3A 7V5",,,,0.212,Empty Land,E3A 7V5,42500
"69 Evergreen Dr., Shediac, New Brunswick, E4P 1R9",5.0,3.0,3652.0,,Residential,E4P 1R9,369000
"69 Acadie, Bouctouche, New Brunswick, E4S2T7",3.0,1.0,1680.0,,Family,E4S2T7,198000
"32 Derby ST, Moncton, New Brunswick, E1C6Y5",,,2436.0,,Family,E1C6Y5,179000
"298 French Lake Road, French Lake, New Brunswick",3.0,2.0,1245.0,,Family,E2V4E2,94900
"10 Murray Lane, Oak Bay, New Brunswick",4.0,3.0,2069.0,1.29,Residential,E3L4H9,464900
"9 Bromfield, Moncton, New Brunswick, E1G0N7",,,,1.2,Empty Land,E1G0N7,189900
"Lot Hillandale Drive, Grand Bay-Westfield, New Brunswick",,,,,Empty Land,E5K3E1,49900
"27 Saint Paul's Street, Hampton, New Brunswick, E5N5P8",4.0,1.0,,0.853,Family,E5N5P8,150000
"Lot 03-6 off of Route 108, Midnight Lane, Miramichi, New Brunswick, E9E 2N4",2.0,1.0,768.0,1.04,Residential,E9E 2N4,89900
"156 Tower Hill Road, Saint Stephen, New Brunswick",4.0,2.0,,,Residential,E5A2P9,144900
"98-3 Bayview Boulevard, Greater Saint Andrews, New Brunswick",,,,,Empty Land,E5B3G4,189900
"154 Frenette, Beresford, New Brunswick, E8K1Y5",4.0,3.0,,,Family,E8K1Y5,549900
"183 St. Patrick's Drive, Miramichi, New Brunswick, E1N 5X4",2.0,1.0,870.0,0.379,Residential,E1N 5X4,89000
"21 Dufferin, Sackville, NB, Sackville, New Brunswick, E4L 2Y8",4.0,1.0,1849.0,0.42,Residential,E4L 2Y8,109900
"125 Cocagne Sud, Cocagne, New Brunswick, E4R2J8",3.0,2.0,1826.0,,Family,E4R2J8,224900
"50 Old Bay Road, Oak Bay, New Brunswick",3.0,1.0,,,Family,E3L3W8,124900
"52 Flagstone Drive, Quispamsis, New Brunswick, E2G0B8",5.0,4.0,3300.0,,Family,E2G0B8,359900
"19 Lakeshore Drive, Sackville, NB, Sackville, New Brunswick, E4L 3A3",4.0,4.0,3131.0,,Residential,E4L 3A3,474900
"175 Anderson Mill Road, Memramcook, NB, Memramcook, New Brunswick, E4K 2G5",2.0,1.0,960.0,,Residential,E4K 2G5,63000
"98-17 Ross Point Road, Greater Saint Andrews, New Brunswick",,,,,Empty Land,E5B3G5,50000
"Route 170, St. Stephen, New Brunswick",,,,2.79,Empty Land,E3L 0G1,30000
"Vacant Lot 17-1 John Chessie Road, Hanwell, New Brunswick",,,,,Empty Land,E6K2Z8,20000
"65 Valmont, Dieppe, New Brunswick, E1A0H3",5.0,4.0,2585.0,,Family,E1A0H3,774900
"28 Guy - Spring 2020, Shediac, New Brunswick, E4P 0L5",3.0,1.0,1124.0,,Residential,E4P 0L5,212000
"3771 Route 535, Cocagne, New Brunswick",3.0,1.0,1824.0,,Residential,E4R3E7,189900
"64-66 Horsman Street, Salisbury, New Brunswick, E4J 2H4",7.0,2.0,3256.0,,Family,E4J 2H4,149900
"23 verte, Dieppe, New Brunswick, E1A2E1",2.0,,1370.0,,Residential,E1A2E1,269900
"56 Cameron Drive, Burton, New Brunswick",3.0,2.0,,,Family,E2V3G7,289900
"Lot Poirier Office RD Notre Dame, Irishtown, New Brunswick",,,,,Residential,E4V3G6,23000
"07- 5 Route 960, Cape Spear, NB, Cape Spear, New Brunswick",,,,3.0,Empty Land,E4M0A3,99900
"254 Ledge Road, Crocker Hill, New Brunswick",3.0,2.0,,,Residential,E3L3Z3,219000
"15 Bridge St., Stanley, New Brunswick, E6B-1B1",4.0,2.0,2264.0,0.302,Residential,E6B-1B1,205000
"66 Neville Street, Fredericton, New Brunswick, E3A4Z5",3.0,2.0,2750.0,,Family,E3A4Z5,239900
"991 Portage Vale Road, Portage Vale, New Brunswick",,,,2.0,Empty Land,E4Z3E4,17500
"51 ALEX JACK DETOUR Road, Utopia, New Brunswick",3.0,2.0,,,Residential,E5C2G4,295000
"116 Falaise, Grande-Anse, New Brunswick",,,,,Empty Land,E8N1E6,49900
"10 Downey Lane, Dennis-Weston, New Brunswick",4.0,1.0,1082.0,1.24,Residential,E3L4V9,157900
"Lot 13 Motivation Avenue, Quispamsis, New Brunswick, E2G2A1",,,,,Empty Land,E2G2A1,69500
"66 Martindale DR, Moncton, New Brunswick, E1G2J3",3.0,2.0,1290.0,,Family,E1G2J3,169900
"15-5 Winterport Way, Fredericton, New Brunswick",,,,1.0,Empty Land,E3A1X5,90000
"Lot 6 Upper Durham Road, Upper Durham, New Brunswick",,,,1.0,Empty Land,E6C1B3,16700
"1498 Champlain ST, Dieppe, New Brunswick, E1A1R4",6.0,3.0,3300.0,,Family,E1A1R4,369000
"8 Anahid St, Moncton, New Brunswick, E1G 4T7",2.0,1.0,1000.0,0.08199999999999999,Residential,E1G 4T7,139000
"47 Queen Street East, St. Stephen, New Brunswick",3.0,3.0,1636.0,,Residential,E3L2J5,174500
"360 Colpitts Road, Colpitts Settlement, New Brunswick",3.0,2.0,2064.0,8.2,Residential,E4J1B6,244900
"Deer Island Point Road, Deer Island, New Brunswick",,,,1.34,Empty Land,E5V1T4,79900
"23 MacTavish Street, Miramichi, New Brunswick, E1V 6A6",2.0,1.0,1008.0,,Residential,E1V 6A6,54000
"159 York ST, Moncton, New Brunswick, E1C2Z1",3.0,2.0,1600.0,,Family,E1C2Z1,126500
"61 Mailhot, Moncton, New Brunswick, E1G1S6",3.0,2.0,1000.0,,Family,E1G1S6,234900
"- Route 127, Bayside, New Brunswick, E5B 2T9",,,,,Empty Land,E5B 2T9,59000
"861 Red Head Road, Red Head, New Brunswick",3.0,2.0,,,Family,E2P1J3,164900
"2511 Route 774, Campobello Island, New Brunswick",5.0,1.0,2100.0,0.31,Residential,E5E1L7,143900
"102 Route 1303, Upper Gagetown, New Brunswick, E5M1N2",2.0,1.0,,,Family,E5M1N2,99900
"68 Acres Welfield Road, Miramichi, New Brunswick",,,,68.0,Empty Land,E1V3K3,35000
"Lot 85-68 Fern Drive, Campobello Island, New Brunswick, E5E 1C1",,,,1.0,Empty Land,E5E 1C1,25000
"3 Newport DR, Moncton, New Brunswick, E1G2L9",3.0,1.0,1050.0,,Family,E1G2L9,149900
"19 Orchard Lane, Greater Kingsclear, New Brunswick",3.0,3.0,2260.0,,Family,E3C0E2,559000
"195 Pleasant ST, Moncton, New Brunswick, E1A2V6",5.0,2.0,1872.0,,Family,E1A2V6,189900
"29 Sheffield Court, Fredericton, New Brunswick, E3B4M9",,,1824.0,,Family,E3B4M9,214900
"23 Better Homes Dr, Greater New Maryland, New Brunswick",4.0,2.0,,1.17,Residential,E3C0G6,329900
"29 Mountain Side, Deer Island, New Brunswick",4.0,2.0,1550.0,6.84,Residential,E5V1G3,399900
"72 Watters Drive, Fredericton, New Brunswick, E3A3T2",3.0,2.0,,,Family,E3A3T2,179900
"21-23 Mansfield ST, Moncton, New Brunswick, E1A2V8",3.0,3.0,1785.0,,Family,E1A2V8,119900
"1184 Salisbury Rd, Moncton, New Brunswick, E1E 3W1",2.0,2.0,4978.0,0.311,Residential,E1E 3W1,225000
"547 Main, Blacks Harbour, New Brunswick, E5H1B9",4.0,2.0,,,Residential,E5H1B9,102000
"600 Crafts Cove Road, Wickham, New Brunswick",3.0,1.0,800.0,,Family,E5T4Y6,169900
"11 Pagan Street, St. Stephen, New Brunswick",4.0,1.0,,,Residential,E3L1R9,119000
"21 Whispering Pines Lane, Crocker Hill, New Brunswick",2.0,2.0,,,Residential,E3L0A1,289900
"83 ch Rang 5, Saint-Basile, New Brunswick",3.0,1.0,,,Family,E7C2B3,129900
"Herring Cove Road, Campobello Island, New Brunswick, E5E 1C3",,,,10.0,Empty Land,E5E 1C3,350000
"98-15 Bayview Boulevard, Greater Saint Andrews, New Brunswick",,,,,Empty Land,E5B3G6,70000
"35 Walker Crescent, Hampton, New Brunswick, E5N5Z7",4.0,2.0,,,Family,E5N5Z7,125000
"Deer Island Point  Route 772, Deer Island, New Brunswick",,,,18.0,Empty Land,E5V1G5,139000
"Lot Elm Street, Chipman, New Brunswick, E4A1X6",,,,,Empty Land,E4A1X6,12000
"38 Ernest St, Saint Andrews, New Brunswick",4.0,3.0,4362.0,,Residential,E5B2E1,699000
"113 Slipp Street, Woodstock, New Brunswick, E7M2R5",3.0,2.0,,,Family,E7M2R5,83900
"33 Bellerive RD, Shemogue, New Brunswick",3.0,1.0,1000.0,,Family,E4N2V5,89900
"1226 Riverside Drive, Bathurst, New Brunswick, E2A4X2",4.0,2.0,2800.0,,Family,E2A4X2,239900
"243 Prince William Street Unit 117, Saint John Centre, New Brunswick",1.0,1.0,854.0,,Family,E2L0C6,259900
"76 Ashfield Drive, Quispamsis, New Brunswick, E2G1R2",3.0,1.0,1400.0,,Family,E2G1R2,209900
"83 Don-De Dieu Dr, Bayside, New Brunswick",,,,1.0,Residential,E5B3Y2,149000
"202 Woodbine Lane, Kingsclear, New Brunswick, E3E 1S5",4.0,3.0,1202.0,1.41,Residential,E3E 1S5,459900
"582 Chartersville, Dieppe, New Brunswick, E1A1K6",4.0,2.0,966.0,,Family,E1A1K6,196900
"41 King Street, Petitcodiac, New Brunswick, E4Z 4K8",3.0,1.0,1008.0,1.148,Residential,E4Z 4K8,135900
"15 Tiffany AVE, Bouctouche, New Brunswick, E4S3X2",3.0,2.0,572.0,,Family,E4S3X2,115000
"44 Hamilton RD, Elgin, New Brunswick, E4Z1V8",2.0,2.0,1092.0,,Family,E4Z1V8,99000
"13 Ledgewood Drive, Crocker Hill, New Brunswick",3.0,1.0,2844.0,,Residential,E3L3Z7,169500
"22 Porter Street, St. Stephen, New Brunswick",3.0,1.0,1650.0,,Residential,E3L2M7,109000
"Lot 89-2, Route 445, Fair Isle, New Brunswick",,,,2.44,Empty Land,E9G2M7,13400
"8 Second Street, Petitcodiac, New Brunswick, E4Z 4V9",2.0,1.0,1200.0,,Residential,E4Z 4V9,119900
"Land Paradox Point, Bocabec, New Brunswick",,,,,Empty Land,E5B3Y1,199500
"Lot 19-2 South Shediac River RD, Shediac Bridge - Shediac River, New Brunswick",,,,,Empty Land,E4R1N5,85000
"47 Prince William Street, St. Stephen, New Brunswick, E3L 1S5",3.0,3.0,1740.0,2.0,Residential,E3L 1S5,339000
"Lot 76-3 Renaud, Saint-Antoine, New Brunswick",,,,,Empty Land,E4V3H3,24900
"4 Mcadam Court, St. Stephen, New Brunswick",4.0,2.0,,,Residential,E3L3G6,169900
"40 Jessica, Fredericton, New Brunswick",4.0,2.0,1996.0,2.1319999999999997,Residential,E3A6T7,259900
"73 Pollett River Road, Petitcodiac, New Brunswick, E4Z 4P6",2.0,1.0,1120.0,0.321,Residential,E4Z 4P6,134900
"3 Wallace CRT, Riverview, New Brunswick, E1B3V2",4.0,3.0,3272.0,,Family,E1B3V2,274900
"1 Tyrells Point Rd, Miramichi, New Brunswick, E1N 3K6",4.0,3.0,3092.0,1.3,Residential,E1N 3K6,279900
"490 Marguerite, Dieppe, New Brunswick, E1A7H1",3.0,2.0,1806.0,,Family,E1A7H1,224900
"370 Sweeney Lane, Miramichi, New Brunswick, E1V 3B1",3.0,1.0,1540.0,0.122,Residential,E1V 3B1,67900
"690 Route 1120, Maquapit Lake, New Brunswick",4.0,1.0,,,Family,E4B1R2,199900
"81 Harbour View Lane, Greater Saint Andrews, New Brunswick",4.0,5.0,,,Residential,E5B3G8,715500
"184 Route 176, Pennfield, New Brunswick",4.0,1.0,,,Residential,E5H1T9,39950
"13 des Erables RD, Dieppe, New Brunswick, E1A8X7",3.0,3.0,1750.0,,Family,E1A8X7,229000
"186 Williston Road, Miramichi, New Brunswick, E1V 5W9",3.0,1.0,1008.0,0.358,Residential,E1V 5W9,159900
"Lot Goymers Lane, Bay du Vin, Black River - Hardwicke, New Brunswick",,,,1.228,Empty Land,E1M5M3,29900
"Lot Route 530, Grande Digue, New Brunswick",,,,0.623,Residential,E4R5G8,30000
"89 Hannington, Shediac Cape, New Brunswick, E4P3C8",5.0,4.0,4900.0,,Family,E4P3C8,599000
"63 Thorncastle ST, Lutes Mountain, New Brunswick, E1G0S6",4.0,3.0,1900.0,,Family,E1G0S6,599900
"612 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2.0,2.0,1232.0,0.13,Residential,E1H 3S7,264900
"Old Saint John Road, St. George, New Brunswick",,,,220.0,Empty Land,E2M2B3,60000
"20 Knowlton Crescent, Oromocto, New Brunswick, E2V 4S8",4.0,3.0,2168.0,0.14800000000000002,Residential,E2V 4S8,364900
"105 West Lane, Moncton, New Brunswick, E1C 6T8",,,,,Residential,E1C 6T8,139900
"65 KEYHOLE Road, Grand Lake, New Brunswick",2.0,2.0,,,Family,E4B4C9,110000
"3 Craig CRT, Riverview, New Brunswick, E1B4M4",3.0,2.0,1270.0,,Family,E1B4M4,199900
"624 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2.0,2.0,1232.0,0.134,Residential,E1H 3S7,264900
"60 Mill Road, St.Stephen, New Brunswick",2.0,1.0,1148.0,1.0,Residential,E3L1K4,169999
"183 Riverside Drive, Fredericton, New Brunswick, E3A6R1",,,,,Empty Land,E3A6R1,99900
"124 Chamcook Lake #1 Road, Chamcook, New Brunswick",,,,,Empty Land,E5B3C3,110000
"225 SERENITY Lane Unit 325, Fredericton, New Brunswick, E3B0H1",2.0,1.0,,,Family,E3B0H1,137500
"23 Willowdale Drive, Rusagonis - Waasis, New Brunswick",4.0,4.0,3150.0,,Family,E3B0V5,439999
"67 Sebastien, Shediac, New Brunswick, E4P 0K7",3.0,3.0,2300.0,,Residential,E4P 0K7,329000
"278 Manor Road, St. George, New Brunswick, E5C 2J4",,,,,Empty Land,E5C 2J4,17000
"9 Bristol CRES, Riverview, New Brunswick, E1B0S9",4.0,3.0,1584.0,,Family,E1B0S9,229900
"100 acres Route 735, Western Charlotte, New Brunswick",,,,,Empty Land,E3L5G4,59000
"3 Route 1127, Harvey, New Brunswick, E6K2S5",3.0,2.0,1962.0,,Family,E6K2S5,229900
"182 Union Street, St. Stephen, New Brunswick",3.0,2.0,,,Residential,E3L1W1,89000
"Colpitts Road, Colpitts Settlement, New Brunswick",,,,6.35,Residential,E4J3G4,29900
"Lot#78 Apple Blossom Trail, Hampton, New Brunswick, E5N0J6",3.0,2.0,,,Family,E5N0J6,321500
"28 Erinvale Drive, Moncton, New Brunswick, E1A 9N6",5.0,4.0,5880.0,0.485,Residential,E1A 9N6,1090000
"Haute Aboujagane Land, Haute Aboujagane, New Brunswick",,,,,Residential,E4P5M8,43000
"680 Front Mountain RD, Moncton, New Brunswick, E1G3H3",5.0,4.0,2650.0,,Family,E1G3H3,514900
"20 Board Road Extension, Oak Bay, New Brunswick",2.0,1.0,,,Residential,E3L4K4,299000
"Lot 15-2 Winterport Way, Fredericton, New Brunswick",,,,1.0,Empty Land,E3A8H4,45000
"102 Horton Road, Rothesay, New Brunswick, E2H1P8",4.0,3.0,1850.0,,Family,E2H1P8,324900
"2 Bickerton AVE, Sackville, New Brunswick, E4L3M7",4.0,2.0,2122.0,,Family,E4L3M7,248800
"45 McAndrew ST, Moncton, New Brunswick, E1G4Z2",3.0,3.0,1460.0,,Family,E1G4Z2,389900
"12-9 Hills Point Road, Oak Bay, New Brunswick",,,,,Empty Land,E3L4H7,39900
"Lot Union Street, St. Stephen, New Brunswick",,,,,Empty Land,E3L1T2,69000
"284 Carriage Hill Road, Hanwell, New Brunswick",,,1728.0,,Family,E3E1A4,379900
"53 Evergreen Street, Fredericton, New Brunswick, E3B6N1",3.0,2.0,1152.0,,Family,E3B6N1,72900
"Lot # 85-139, Campobello Island, New Brunswick",,,,1.21,Empty Land,E5E1X2,25000
"27 Fraser, Oak Bay, New Brunswick",3.0,1.0,1468.0,,Residential,E3L4B5,49000
"62 Parkin Street, Salisbury, New Brunswick, E4J 2N3",3.0,2.0,3790.0,0.85,Residential,E4J 2N3,549900
"178 C K Justason Lane, Pennfield, New Brunswick",3.0,3.0,,,Residential,E5H1S2,299900
"4 Denully Court, St. Stephen, New Brunswick, E3L 1P7",4.0,2.0,1100.0,0.24,Residential,E3L 1P7,169900
"141 Church Avenue, Sussex, New Brunswick, E4E1Z2",6.0,3.0,,,Family,E4E1Z2,289900
"19 Stewart Street, Fredericton, New Brunswick, E3G3V4",2.0,2.0,,,Family,E3G3V4,109900
"305 Hampton Road, Quispamsis, New Brunswick, E2M4M9",4.0,2.0,,0.294,Family,E2M4M9,264900
"10 & 14 107 Route, Nashwaak Bridge, New Brunswick",5.0,2.0,,,Family,E6C2G7,139900
"600 Royal Oaks Boulevard, Moncton, New Brunswick, E1H 3S7",2.0,2.0,1232.0,0.12300000000000001,Residential,E1H 3S7,264900
"35 Sagewood CRES, Moncton, New Brunswick, E1G1Z4",4.0,4.0,2457.0,,Family,E1G1Z4,347000
"18 Islands, Greater Canterbury, New Brunswick",,,,,Empty Land,E6H1R2,550000
"415 Beckwith Road, Greater Salisbury, New Brunswick",2.0,2.0,1980.0,4.0,Residential,E4Z3J3,224900
"Lot 89-4 Route 445, Fair Isle, New Brunswick",,,,2.55,Empty Land,E9G2M7,13400
"- Route  725, Western Charlotte, New Brunswick",,,,,Empty Land,E3L 5N6,15900
"Lot 10 Motivation Avenue, Quispamsis, New Brunswick, E2G2A1",,,,,Empty Land,E2G2A1,69500
"7 ACRES, SANDY PT RD, (Ch. Pointe aux Sable), Miramichi, New Brunswick, E9A 1J4",,,,7.0,Empty Land,E9A 1J4,40000
"Lot Upper Mills Road, Greater Saint Stephen, New Brunswick",,,,,Empty Land,E7L5X7,48000
"140 Orleans St., Dieppe, New Brunswick, E1A 1W9",4.0,3.0,2808.0,0.124,Residential,E1A 1W9,236900
"98-14 Bayview Boulevard, Greater Saint Andrews, New Brunswick",,,,,Empty Land,E5B3G6,70000
"45 Percy Kelly Drive, Miramichi, New Brunswick, E1V 5V5",2.0,1.0,1008.0,0.25,Residential,E1V 5V5,129900
"Lot 1 Murdock Rd, Miramichi, New Brunswick, E1N 4Y9",,,,10.3,Empty Land,E1N 4Y9,19900
"63 Balsam Ave, Noonan, New Brunswick",,,,1.3,Empty Land,E3A0J8,39900
"Lot 07-02 Comeau Point Rd, Shemogue, New Brunswick, E4N 3B4",,,,1.98,Residential,E4N 3B4,34900
"Lot 19-01 Bayview Drive, Saint Andrews, New Brunswick",,,,,Empty Land,E5B3G5,129900
"29 Flint Court, Moncton, New Brunswick",4.0,3.0,,0.09,Residential,E1G2H3,399900
"3888 Rte 620 Tay Creek, Greater Estey's Bridge, New Brunswick",2.0,2.0,1800.0,5.0,Residential,E3G6K8,183500
"48 Augustus St, Saint Andrews, New Brunswick",3.0,2.0,1778.0,0.294,Residential,E5B2E7,449000
"03-11 Archangel Way, Keswick Ridge, New Brunswick, E6L0A5",,,,,Empty Land,E6L0A5,33900
